f15name,f6name,f12value,f1name,f15value,f5value,f14name,f4value,f7name,f12name,make,f14value,f5name,f1value,f9value,f11name,f6value,f11value,description,f3value,f13name,price,f7value,f8value,curr_date,f4name,f10name,f8name,f2name,f2value,f10value,f9name,model,f13value,f3name
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,55 550 Km,,,"A/C, P/S",,2012 Citroen C1 1.0i Attraction,White,,R 79 900,Gauteng,DK61PSGP,2016/07/26,Transmission,,Car id,Year,2012,,,Citroen C1,,Colour
,Fuel Type,,Mileage,,Automatic,,White,Options,,Citroen,,Transmission,50 Km,# DS3AT,,Petrol,,2016 Citroen DS3 1.6 Style Auto 3-Door,New,,R 259 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Motorplan, Park distance control, Radio                                                                                    ,
                                                                                                                                                        Power :88kw -6000rpm
Torque: 160nm- 4200rpm
Fuel Consumption : 6.6l /100km
Gearbox : 4 Speed Automatic
Fuel Tank: 50 Litre

ABS ,EBD
Driver, passenger & Curtain Airbags
Cruise Control & Speed Limiter
LED Daytime Running Lights
Manual Airconditioning System
Radio,CD,MP3,Aux

Extra's Included into the Price are as Follows:
Safety Pack: Bluetooth,USB & Alarm -worth R4500
Auto Pack: Auto headlights,Wipers & Eltrochrome Review Mirror -worth R2490
Rear Park Sensors -worth R3000
17"" 'Bellone' Black Diamond -Tipped Alloy Wheels -worth R4990

Please Contact Justin For Further Information and a Brochure
Retail New on the vehicle is R325900
We are selling it New for a Bargain at R259900 Incl Extra's Listed

For Further Information Please Contact
Justin Mandy
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen DS3,,Condition
,Fuel Type,,Mileage,,Manual,,Blue,Options,,Citroen,,Transmission,15 000 Km,# 380509,,Petrol,,2015 Citroen C4 AIRCROSS 2.0 Comfort,Excellent,,R 239 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Motorplan, Park distance control, Radio                                                                                    ,
                                                                                                                                                        Extras - Finance available, Trade ins welcome.

Details - Good clearance, as comfortable on the dirt as it is on tar. ABS, Radio/CD/MP3, Driver, Passenger airbags, Electric windows, Park distance control, Fog lights, Bluetooth, Cruise control, Air conditioning, Power Steering, Rear wiper, Rain sensor, Adjustable seats, Height adjustable drivers seat, Electric mirrors.. New

Accel 0-100 9.3 s
Drive Wheels front
Engine CC 1998 cm3
Fuel per 100km - average 7.5 Litres
Fuel Type petrol
Gearbox manual
Gears 5
Power KW 115 kW
Torque NM 198 Nm 
For Further Information please Contact
Justin Mandy 
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2015,,Car id,Citroen C4,,Condition
,Fuel Type,,Mileage,,Manual,,Blue,Options,,Citroen,,Transmission,20 000 Km,# 380574,,Petrol,,2016 Citroen C1 1.0 Feel 5-Door,Excellent,,R 145 900,"ABS, Air bags, Aircon, Alarm, Electric Windows, Full service record, Radio                                                                                    ,
                                                                                                                                                        Extras - ABS with Electronic Brake force Distribution and Emergency Braking, Electronic Stability Control, Hill Start Assist, Airbags, front, passenger, lateral and curtain, Front seat belt pre-tensioners with force-limiters, Transponder immobiliser, Rear ISOFIX mounting points, Remote central locking, LED Daytime Running Lights, Automatic Lights, Trip Computer & Rev Counter, Air conditioning, Height-adjustable driverâ€™s seat, Rear 50/50 split/folding seats, DAB digital radio/MP3 audio system. Finance, Warranty & Service plan extensions available, Trade-in's Welcome.

Details - Modern & Economical !! . As New

Accel 0-100 11.0 s
Drive Wheels front
Engine CC 1199 cm3
Fuel per 100km - average 4.3 Litres
Fuel Type petrol
Gearbox manual
Gears 5
Power KW 60 kW
Torque NM 116 Nm 
For Further Information Please contact
Justin Mandy 
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen C1,,Condition
,Fuel Type,,Mileage,,Automatic,,Vapour Grey,Options,,Citroen,,Transmission,150 Km,#38258,,Petrol,,2016 Citroen DS5 1.6 Thp Style A/t,New,,R 369 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Leather seats, Motorplan, Park distance control, Radio, Sat nav, Sunroof                                                                                    ,
                                                                                                                                                        Extreme luxury at an amazing price!!! This vehicle has everything you can want out of an executive car, from leather interior and electric heated and adjustable seats to satellite navigation, a reverse camera and much much more! With superior built quality, comfort, style, performance and safety this is a must see!

This car is brand new and I have a once in a lifetime deal to offer you.... This vehicle with all the extras it has fitted retails for R495 000. Contact me today for the deal of a lifetime! Trade-ins welcome & finance available.
For more info and to book a test drive contact:

Power - 115 kW - 6000 rpm
Torque - 240 Nm -1400 rpm
Economy - 7.3 l/100km
Emissions - 169 g/km
Emissions Rating - EU5
Gears - 6 / FRONT
Acceleration - 9.7 seconds
Top Speed - 202 km/h
Airbags (total) - 6
Length - 4,530 cm
Seats - 5
Fuel Tank Capacity - 60 litres
Boot Capacity - 468 litres
Service Intervals - 20,000 km 
For Further Information Please Contact
Justin Mandy
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen DS5,,Condition
,Fuel Type,,Mileage,,Manual,,Red,Options,,Citroen,,Transmission,50 Km,#CAC,,Petrol,,2016 Citroen C4 Cactus 1.2t Puretech Feel (81kw),New,,R 229 900,"ABS, Air bags, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Motorplan, Radio                                                                                    ,
                                                                                                                                                        Extras - Finished In Black Fabric. 7"" Touch Screen, Cruise Control with Speed Limiter, Roof Rails, Bluetooth, USB, Air bump Technology, Front E/Windows, Gear Change Indicator, Daytime LED'S, Driver, Passenger and side Airbags, ABS, Air Conditioner, Power Steering. Trade-in's welcome, Finance Arranged.

Details - Exciting drive, fantastic fuel economy, sold with 5 Year/100 000km Service Plan, balance of 3 Year / 100 000 Factory Warranty.. New
Accel 0-100 14.5 s
Drive Wheels front
Engine CC 1199 cm3
Fuel per 100km - average 4.6 Litres
Fuel Type petrol
Gearbox manual
Gears 5
Power KW 81 kW
Torque NM 205 Nm 

For Further Information Please Contact
Justin Mandy
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen C4,,Condition
,Fuel Type,,Mileage,,Manual,,Bronze,Options,,Citroen,,Transmission,50 000 Km,#DS42013,,Diesel,,2013 Citroen DS4 2.0 Hdi 160 Sport 5dr,Excellent,,R 219 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Leather seats, Park distance control, Radio                                                                                    ,
                                                                                                                                                        We deliver countrywide
air conditioning, alloy wheels/rims, anti-lock braking system (ABS), autodim interior mirror, aux in (auxiliary input jack),Bluetooth connectivity, brake assist (BAS/EBA), CD player, climate control / automatic air conditioning, cruise control,curtain airbags, daytime driving/running lights, driver airbag, electric windows, electric-adjust mirrors, electro-mechanicalparking brake, electronic brake distribution (EBD), front fog lamps/lights, front passenger airbag, front side airbags, heatedseats - front, high-level (3rd) brake light, hill-start assist / hill holder, lane change / blind spot warning/assist/monitor,leather upholstery, light sensor / automatic light control (auto on-off lights), massaging seats - front, multi-function steeringwheel controls, on-board computer / multi-information display, park distance control (PDC) - front, park distance control(PDC) - rear, power steering, rain sensor (auto wipers), remote central locking, stability control, traction control,turbocharger, USB port

Citroen DS4 2.0 HDi 160 Sport

Power - 120 kW 3750 rpm
Torque - 340 Nm 2000 rpm
Economy - 5.1 l/100km
Emissions - 149 g/km
Emissions Rating - EU5
Gears - 6 / FRONT
Acceleration - 8.6 seconds
Top Speed - 212 km/h
Airbags (total) - 6
Length - 4,275 cm
Seats - 5
Fuel Tank Capacity - 60 litres
Boot Capacity - 359 litres
Service Intervals - 20,000 km
For Further information Please contact 
Justin Mandy 
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2013,,Car id,Citroen DS4,,Condition
,Fuel Type,,Mileage,,Manual,,Silver,Options,,Citroen,,Transmission,50 Km,#380633,,Petrol,,2016 Citroen C4 Cactus 1.2t Puretech Feel (81kw),Excellent,,R 229 900,"ABS, Air bags, Aircon, Alarm, Cruise control, Electric Windows, Full service record, Radio                                                                                    ,
                                                                                                                                                        Citroen C4 Cactus 1.2 Pure Tec Turbo Feel Manual 5 Door (81kW) - Aden Red Finished In Black Fabric. 7"" Touch Screen, Speedo Cruise with Speed Limiter, Height Adjust Headlamps, Roof Rails, Bluetooth, USB, Aux, Black Airbump Stops, 16"" Steel Rim, Hubcaps, Front E/Windows, Gear Change Indic, Daytime LED'S, 6 Airbags, ABS, Aircon, Powersteering. Balance 5yr/ 100 000km Service Plan

Citroen C4 Cactus 1.2 Puretech e-THP Feel

Power - 81 kW - 5500 rpm
Torque - 205 Nm - 1500 rpm
Economy - 4.7 l/100km
Emissions - 107 g/km
Emissions Rating - EU6
Gears - 5 / FRONT
Acceleration - 9.3 seconds
Top Speed - 188 km/h
Airbags (total) - 6
Length - 4,157 cm
Seats - 5
Fuel Tank Capacity - 50 litres
Boot Capacity - 358 litres
Service Intervals - 15,000 km 
For Further Information Please contact 
Justin Mandy 
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen C4,,Condition
,Fuel Type,,Mileage,,Manual,,Ruby Red,Options,,Citroen,,Transmission,5 500 Km,856287,,Diesel,,2016 Citroen C4 Aircross 1.6 HDi Seduction,Excellent,,R 279 900,"ABS, EBS, brake assist, power steering, central locking, electric windows, aircon, climate control, CD player, AUX input, USB port",Gauteng,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen C4,,Condition
,Options,,Mileage,,Diesel,,Manual,Area,,Citroen,,Fuel Type,57 903 Km,,,"Air Conditioner,Airbags,Power Steering,Electrical Windows (Front),Central Locking,Anti-Lock Braking System,Leather Seats,Traction Control (ESP),Alloy Wheels,Park Distance Control,Emergency Brake Assist (EBA),CD/Radio,Electronic Brake Force Distribution (EBD),USB port,Steering Wheel Controls,Height adjustable steering,Isofix rear seats,Automatic headlights,",,2013 Citroen DS4 2.0 Hdi 160 Sport 5dr,ARCTIC STEEL,,R 204 995,Gauteng,54UCP14262,2016/07/26,Transmission,,Car id,Year,2013,,,Citroen DS4,,Colour
,Fuel Type,,Mileage,,Manual,,GREY METALLIC,Options,,Citroen,,Transmission,89 000 Km,2.0 attraction,,Petrol,,2012 Citroen C4 Aircross 2.0 Attraction,Excellent,,R 129 995,"2012 Citroen C4 Aircross 2.0 Attraction[110KW]........Only done 89000kms with FSH,  Immaculate condition, C/d player, A/con, P/str...............R129 995........Bank finance available contact ASH on 083 786 3377 [PMBurg]",Kwazulu Natal,2016/07/26,Colour,,Area,Year,2012,,Car id,Citroen C4,,Condition
,Fuel Type,,Mileage,,Automatic,,White,Options,,Citroen,,Transmission,132 000 Km,N/A,,Diesel,,2011 Citroen C5 3.0 Hdi A/t,Excellent,,R 129 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Leather seats, Park distance control, Radio                                                                                    ,
                                                                                                                                                        2011 M Citroen C5 3.0 HDI In exelant condition R129900
Alton 0791916581",Free State,2016/07/26,Colour,,Area,Year,2011,,Car id,Citroen C5,,Condition
,Fuel Type,,Mileage,,Manual,,Silver,Options,,Citroen,,Transmission,150 Km,#38310,,Diesel,,2016 Citroen C4 Picasso 1.6 e HDi Intesive,New,,R 389 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Leather seats, Motorplan, Park distance control, Radio, Sat nav, Sunroof, Xenon lights                                                                                    ,
                                                                                                                                                        Power: 85kw @ 3600rpm
Torque: 270nm @ 1750rpm
Fuel Consumption: 4.0L/100km
CO2 Emissions : 105g CO2/100km
Gearbox: 6 Speed Manual
Tyres: 205/55 R17
Fuel Tank Capacity : 55 Litre


ABS with EBD, ESP and inteligent Traction Control
6 Airbags : Driver,Passener , Side & curtain Airbags
Second Generation Stop Start Technology( with brake energy recuperation)
Variable Assistance Electric power Steering
Automatic Bi-zone Air-conditioning System
17"" Alloy wheels

eMYWAY Satellite Navigation( Displayed on 7"" touch screen) & 12"" HD Screen built into Dashboard
12v ,USB, Aux, Bluetooth Handsfree & Juke Box Function (8gig internal storage for storing music)
Front Park Sensors & Rear Park Sensors
360 View (camera at the front,rear & both sides) & Blind spot monitoring
Park Assist : Car can LA-Dock and parrarel park itself
Keyless access & keyless push to start
Panoramic Glass Roof
Electric Seats(with memory Function),heated seats & massaging seats
Full Nappa Leather interior
Auto headlights & Auto Wipers
For Further Information Please Contact 
Justin Mandy
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen C4,,Condition
